Time::Relative Time!!R,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R,Channel1_R5_Area::EGFP_R5_Area!!R,Channel1_R5_IntensityMean::EGFP_R5_IntensityMean!!R,Channel1_R5_IntensitySum1::EGFP_R5_IntensitySum1!!R,Channel1_R5_IntensityMaximum::EGFP_R5_IntensityMaximum!!R,Channel1_R6_Area::EGFP_R6_Area!!R,Channel1_R6_IntensityMean::EGFP_R6_IntensityMean!!R,Channel1_R6_IntensitySum1::EGFP_R6_IntensitySum1!!R,Channel1_R6_IntensityMaximum::EGFP_R6_IntensityMaximum!!R,Channel1_R7_Area::EGFP_R7_Area!!R,Channel1_R7_IntensityMean::EGFP_R7_IntensityMean!!R,Channel1_R7_IntensitySum1::EGFP_R7_IntensitySum1!!R,Channel1_R7_IntensityMaximum::EGFP_R7_IntensityMaximum!!R,Channel1_R8_Area::EGFP_R8_Area!!R,Channel1_R8_IntensityMean::EGFP_R8_IntensityMean!!R,Channel1_R8_IntensitySum1::EGFP_R8_IntensitySum1!!R,Channel1_R8_IntensityMaximum::EGFP_R8_IntensityMaximum!!R,Channel1_R9_Area::EGFP_R9_Area!!R,Channel1_R9_IntensityMean::EGFP_R9_IntensityMean!!R,Channel1_R9_IntensitySum1::EGFP_R9_IntensitySum1!!R,Channel1_R9_IntensityMaximum::EGFP_R9_IntensityMaximum!!R,Channel1_R10_Area::EGFP_R10_Area!!R,Channel1_R10_IntensityMean::EGFP_R10_IntensityMean!!R,Channel1_R10_IntensitySum1::EGFP_R10_IntensitySum1!!R,Channel1_R10_IntensityMaximum::EGFP_R10_IntensityMaximum!!R,Channel1_R11_Area::EGFP_R11_Area!!R,Channel1_R11_IntensityMean::EGFP_R11_IntensityMean!!R,Channel1_R11_IntensitySum1::EGFP_R11_IntensitySum1!!R,Channel1_R11_IntensityMaximum::EGFP_R11_IntensityMaximum!!R,Channel1_R12_Area::EGFP_R12_Area!!R,Channel1_R12_IntensityMean::EGFP_R12_IntensityMean!!R,Channel1_R12_IntensitySum1::EGFP_R12_IntensitySum1!!R,Channel1_R12_IntensityMaximum::EGFP_R12_IntensityMaximum!!R,Channel1_R13_Area::EGFP_R13_Area!!R,Channel1_R13_IntensityMean::EGFP_R13_IntensityMean!!R,Channel1_R13_IntensitySum1::EGFP_R13_IntensitySum1!!R,Channel1_R13_IntensityMaximum::EGFP_R13_IntensityMaximum!!R,Channel1_R14_Area::EGFP_R14_Area!!R,Channel1_R14_IntensityMean::EGFP_R14_IntensityMean!!R,Channel1_R14_IntensitySum1::EGFP_R14_IntensitySum1!!R,Channel1_R14_IntensityMaximum::EGFP_R14_IntensityMaximum!!R
"Ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0671,10604.75,183.61633466136,4608770,247,10587.85,382.03499600958,9573797,546,10595.8775,175.36121854938,4397884,249,10585.7375,169.74300538815,4252911,257,10582.78,168.73969977643,4226592,234,10598.835,180.29008211752,4522757,246,10589.9625,184.38132854578,4621518,251,10589.54,354.75303223747,8891530,510,10594.1875,184.06404785643,4615406,274,10584.0475,323.38010458664,8100995,509,10588.2725,178.54092015482,4474414,245,10584.47,205.65300175635,5152019,273,10596.7225,184.07679119652,4616830,251,10591.6525,178.8121983326,4482643,256
100.0746,10604.75,182.74896414343,4586999,256,10587.85,382.23818834797,9578889,552,10595.8775,175.66031340963,4405385,241,10585.7375,169.53749750549,4247762,230,10582.78,168.38038965187,4217592,245,10598.835,180.19963326158,4520488,244,10589.9625,183.77123478955,4606226,257,10589.54,356.44745451644,8933999,525,10594.1875,184.40889332004,4624053,267,10584.0475,320.13468524211,8019694,522,10588.2725,178.34970671561,4469622,253,10584.47,204.68381765927,5127739,274,10596.7225,183.74773733105,4608577,247,10591.6525,178.90342654274,4484930,277
110.0821,10604.75,182.90282868526,4590861,248,10587.85,380.29377494014,9530162,552,10595.8775,175.15602695482,4392738,246,10585.7375,169.83751746159,4255279,240,10582.78,168.60328169914,4223175,260,10598.835,180.21083472853,4520769,254,10589.9625,184.3452224217,4620613,257,10589.54,354.45551388446,8884073,532,10594.1875,184.23501495514,4619693,289,10584.0475,316.60899764481,7931372,498,10588.2725,178.49339611348,4473223,251,10584.47,204.43365799138,5121472,289,10596.7225,184.08277181931,4616980,253,10591.6525,178.15265866209,4466109,274
120.0895,10604.75,182.24087649402,4574246,270,10587.85,380.66221069433,9539395,526,10595.8775,175.72562701862,4407023,246,10585.7375,169.71231291159,4252142,233,10582.78,168.22564675822,4213716,234,10598.835,179.97592282548,4514876,244,10589.9625,183.72264113305,4605008,244,10589.54,356.06351739547,8924376,511,10594.1875,184.49316051845,4626166,276,10584.0475,312.87693106064,7837880,529,10588.2725,178.27508878337,4467752,250,10584.47,203.63507903561,5101466,267,10596.7225,183.67553127866,4606766,249,10591.6525,178.38549603096,4471946,257
130.097,10604.75,182.26984063745,4574973,259,10587.85,378.32075019952,9480718,542,10595.8775,175.09422225767,4391188,248,10585.7375,169.65352225105,4250669,258,10582.78,168.54132066433,4221623,234,10598.835,179.98114486168,4515007,245,10589.9625,184.12088569719,4614990,253,10589.54,354.43025853814,8883440,514,10594.1875,184.2333000997,4619650,290,10584.0475,309.27966947427,7747765,485,10588.2725,178.63676629025,4476816,238,10584.47,203.2643301932,5092178,283,10596.7225,184.14911686137,4618644,260,10591.6525,177.8080098927,4457469,263
140.1044,10604.75,181.41509960159,4553519,263,10587.85,377.9808858739,9472201,548,10595.8775,175.58176163324,4403415,252,10585.7375,169.56715226502,4248505,241,10582.78,168.14528106036,4211703,248,10598.835,179.86446623615,4512080,241,10589.9625,183.51470177538,4599796,248,10589.54,355.43588413661,8908645,513,10594.1875,184.37335992024,4623162,268,10584.0475,304.59937727037,7630519,485,10588.2725,178.30445712462,4468488,243,10584.47,202.22932300814,5066249,278,10596.7225,183.3609106495,4598875,258,10591.6525,177.79959312298,4457258,265
150.1119,10604.75,181.76661354582,4562342,250,10587.85,374.51931364725,9385454,523,10595.8775,174.92104948363,4386845,246,10585.7375,170.18251845939,4263923,241,10582.78,168.39144841904,4217869,236,10598.835,179.83931276409,4511449,253,10589.9625,183.90700179533,4609629,243,10589.54,352.61813756783,8838021,520,10594.1875,184.05559322034,4615194,282,10584.0475,300.58033611433,7529838,492,10588.2725,178.5212481545,4473921,252,10584.47,202.32145138113,5068557,291,10596.7225,183.61528647183,4605255,246,10591.6525,177.25736965974,4443665,264
160.1193,10604.75,180.62697211155,4533737,255,10587.85,374.29760574621,9379898,533,10595.8775,175.27808126321,4395799,253,10585.7375,172.95781281181,4333458,236,10582.78,167.77802618972,4202504,242,10598.835,179.52738579287,4503624,256,10589.9625,183.36975862757,4596163,255,10589.54,353.82552665177,8868283,500,10594.1875,184.09499501496,4616182,264,10584.0475,295.85413755938,7411442,468,10588.2725,178.22169905431,4466414,246,10584.47,201.05783969344,5036901,279,10596.7225,183.16801562936,4594037,253,10591.6525,176.96501655431,4436336,272
170.1268,10604.75,181.07442231076,4544968,251,10587.85,370.92725458899,9295437,526,10595.8775,174.69488416604,4381173,242,10585.7375,178.60590700459,4474971,242,10582.78,168.04906579368,4209293,251,10598.835,179.34608945228,4499076,265,10589.9625,183.93433074008,4610314,252,10589.54,351.29201244813,8804783,504,10594.1875,183.89862412762,4611258,261,10584.0475,291.95405373039,7313741,437,10588.2725,178.35641035873,4469790,244,10584.47,201.26413060834,5042069,280,10596.7225,183.61544595511,4605259,249,10591.6525,176.8410387331,4433228,254
180.1343,10604.75,180.62175298805,4533606,251,10587.85,371.3244612929,9305391,522,10595.8775,175.14721480123,4392517,250,10585.7375,186.22111355019,4665770,262,10582.78,167.76309485787,4202130,237,10598.835,179.54803476042,4504142,249,10589.9625,183.63518850987,4602816,267,10589.54,352.45934407916,8834041,518,10594.1875,184.15230309073,4617619,269,10584.0475,287.61051455032,7204931,453,10588.2725,178.01193088863,4461157,265,10584.47,200.3622864442,5019476,281,10596.7225,183.43877835812,4600828,261,10591.6525,177.16989110056,4441472,256
