"Time","R1","R2","R3","R4","R5","R6"
0,205.14012687381,202.2574741435,209.80547812386,203.77073821165,170.92594389199,209.24699135773
10.0075,204.51808153865,202.66976405947,208.81468912859,202.5537193422,171.02453714933,207.37900815766
20.0149,203.68742171401,201.69129767292,207.2050660526,201.51198028203,170.35184736034,205.77348356353
30.0224,203.11786334801,200.33706367162,206.74079909506,200.90181421472,170.38750101059,204.28685081981
40.0298,202.522485757,199.3457498384,205.11671312568,199.78871873611,169.81170668607,202.61206687667
50.0373,201.90011717645,197.80773270847,204.6679998384,199.24748474686,169.97740318538,201.3263872062
60.0448,201.68511859065,197.15295733678,203.39805276128,198.5605883066,169.44037513138,200.15842823681
70.0522,201.26348539335,195.84562863607,203.16292974589,198.04937573235,169.90868299782,198.8901946531
80.0597,201.11034789284,195.34918390433,201.8974669737,197.25883874096,169.15304390007,197.983321218
90.0671,200.15253141541,194.03862314156,201.40589019513,196.86427734454,169.42764168486,196.31895646555
100.0746,199.81595215968,193.31856011635,199.89237668161,195.77890015758,168.89449430027,195.53117680317
110.0821,199.32773041335,191.95394311571,199.78281420434,195.43961372177,168.95480637077,194.22013569179
120.0895,199.49804032486,191.43830801551,198.70710620935,194.67477473837,168.58222168324,193.71444148292
130.097,198.87409592307,190.52678571429,198.66129358058,194.61836841893,168.77467863206,192.3530813343
140.1044,198.61259040769,189.96933581125,197.4041934311,193.57711422684,168.3764249333,191.74218560698
150.1119,198.25495979636,189.00210084034,197.32739465923,193.57052810215,168.64580806856,190.49955577094
160.1193,198.14792516869,188.57025694893,196.17012079344,192.63929855752,168.17834909855,189.78285275826
170.1268,197.56406319447,187.51345345831,196.24017290833,192.79958786214,168.38357991754,188.91212341491
180.1343,197.46179643622,187.25763574661,195.10620934836,191.76100044446,167.86449995958,188.1754300945
190.1417,197.04965857206,186.4650937298,195.0940896053,191.88157097257,167.97380548145,187.41402148453
200.1492,196.8867428987,186.06395442793,193.91362663112,191.02545557396,167.73619532703,186.88801389225
210.1566,196.65372338276,185.27302844215,194.34424110209,191.11463089418,167.85083676934,186.30050076731
220.1641,196.72916077417,184.98618293471,193.26994707712,190.44030061821,167.53654297033,185.69182618528
230.1716,196.38239928886,184.25464608921,193.5629620652,190.44813931876,167.66703047942,184.71318956466
240.179,196.56769970504,184.09199256626,192.75760513877,189.86330760839,167.59576360256,184.5564170907
250.1865,195.90629924441,183.44053005818,192.62792388801,189.76540466282,167.51487589943,183.51768839351
260.1939,196.09297345347,183.14984647705,191.98937502525,189.13733888238,167.41199773628,183.43679832001
270.2014,195.323326195,182.65982546865,191.93273542601,189.10105458806,167.27524456302,182.30102576529
280.2089,195.91070346277,182.24341467356,191.20312689371,188.77526364702,167.2824399709,182.3225506825
290.2163,195.15806699261,181.78163380737,191.11109764473,188.66523899956,167.17256851807,181.18031661417
300.2238,195.50442442119,181.57821590175,190.6848866804,188.1334195321,167.13125555825,181.39520232615
310.2312,194.87167158269,181.05579347124,190.57617258514,188.20570528102,167.10764815264,180.29965269364
320.2387,195.42062305548,180.73998060763,190.09913949824,187.60709523617,167.21598350716,180.66416283014
330.2461,194.66030950746,180.46384130575,189.81957742496,187.7953048608,167.02667960223,179.65584363137
340.2536,195.12764152087,180.19861021332,189.62711590514,187.23415087478,167.26651305684,179.53186333899
350.2611,194.74403006182,179.71747737557,189.50179776189,187.47553436503,166.79864985043,178.87044665213
360.2685,195.07652834458,179.71186166774,188.81287116713,186.90864277345,166.91042121433,179.03105564979
370.276,194.34930704271,179.33059954751,188.8702783501,187.06000242434,166.78361225645,178.21948954043
380.2834,194.9254515334,179.01640271493,188.58077808751,186.65772354439,167.02672002587,178.23927792585
390.2909,194.3351246515,178.80805591467,188.57374863653,186.73085781244,166.76344086022,177.47677893547
400.2984,194.71360459008,178.45717517776,188.01906839575,186.27136449958,166.99955533996,177.5238672159
410.3058,194.19532102307,178.19452973497,187.95729810528,186.48559537759,166.82108497049,176.85635247557
420.3133,194.77126348539,178.103385585,187.87181351755,186.1325306073,167.0071145606,176.96914627251
430.3207,194.13026788961,177.9900210084,187.46596372157,186.14525839428,166.70531166626,176.46159437848
440.3282,194.52915269304,177.66681480284,187.37377287602,185.84754939594,167.02352655833,176.52475567402
450.3356,194.0953169825,177.53454266322,187.37086413768,185.95733160936,166.81582989732,176.03590178499
460.3431,194.55089094509,177.35136554622,187.33179816588,185.54078952685,166.88265017382,175.99830385268
470.3506,194.35940846095,177.32688267615,187.03930836666,185.87761121662,166.95432128709,175.75518940312
480.358,194.40013737929,177.20765998707,187.15230477114,185.63000525274,167.14512086668,175.44935788709
490.3655,194.15422845368,176.73230446025,186.6476790692,185.52208170027,166.60182714852,175.0949438656
500.3729,194.40349105014,176.71743697479,186.78317779663,185.43977534446,167.09669334627,175.08929004119
510.3804,194.40619823023,176.72030542986,186.44103745001,185.46906945735,166.66634327755,174.83381794685
520.3879,194.58099317144,176.45640756303,186.51456389125,185.22485757,167.02967095157,174.8647120588
530.3953,194.35492343125,176.55854072398,186.29644891528,185.34922623136,166.84162017948,174.41858492852
540.4028,194.24934340781,176.23295087266,186.47311436998,184.97951432381,167.07041798044,174.42044261368
550.4102,194.34866055194,176.03987556561,185.74944451178,184.86872196856,166.64261460102,174.1184072369
560.4177,194.35468099721,175.85447640595,186.28784389771,185.01381874015,167.25810493977,173.93292141184
570.4252,194.1869166431,176.00242404654,185.5501555367,184.94981615419,166.82593580726,173.84439867539
580.4326,194.35233746818,175.60286037492,186.16579808508,185.02307163926,167.26376424933,173.57547855585
590.4401,194.48882783143,175.63869586296,185.29547933584,184.85890339004,166.85875980273,173.44172522413
600.4475,194.37589397551,175.5362394958,185.99773764796,184.93712877288,167.21699409815,173.10059769001
610.455,194.34102387975,175.33928571429,185.4110612855,184.71235201422,166.80576441103,173.2135530248
620.4624,194.39686451978,175.2295572075,185.86745041005,184.83769041173,167.19645888916,172.99729424118
630.4699,194.55711341872,175.35027472528,185.27899648528,184.52491009738,166.90290241733,172.89015426864
640.4774,194.45213948038,174.95240788623,185.84321092393,184.72859509475,167.36906783087,172.70402229222
650.4848,194.40777405148,175.13505979315,184.99822243768,184.63226797042,167.13929986256,172.69836846781
660.4923,194.43617923957,174.62322236587,185.61673332525,184.53783991272,167.11803702805,172.41240610613
670.4997,194.60418602772,174.92311732385,185.18834080718,184.57820518001,166.94550893362,172.378160084
680.5072,194.37989413714,174.53664350356,185.53338989213,184.70693765405,167.01406742663,172.10326306437
690.5147,194.46717039072,174.83625565611,184.91548499172,184.46777647582,166.97028862479,172.29137387933
700.5221,194.38534890299,174.50189883646,185.35438128712,184.73239322801,167.25616460506,172.0684516598
710.5296,194.81575013132,174.63837265676,185.07514240698,184.58151844519,167.2658662786,172.34141022535
720.537,194.2115641036,174.40760342599,185.21064113441,184.653076892,167.35208990218,171.68035699863
730.5445,194.89587458079,174.43960084034,184.91867652406,184.43088609641,167.13533834587,171.96635974477
740.5519,194.21431168936,174.19319650937,185.27713812467,184.62192411815,167.22714043172,171.38288506583
750.5594,194.60588306598,174.34962831286,184.86397608371,184.40409713524,167.04927641685,171.68282045069
760.5669,194.28853691058,174.06952973497,185.16200056559,184.59743828034,167.28846309322,171.37565624748
770.5743,194.8517919916,174.33758888171,184.96925625177,184.37120691745,167.17018352332,171.69542040223
780.5818,194.13063154067,174.09356819651,185.07187007635,184.47755464867,167.3169213356,171.35865438979
790.5892,194.64402602125,174.02840174531,184.68609865471,184.20057376056,167.13291292748,171.30502382683
800.5967,194.20623055477,173.7513332256,184.95923726417,184.46482686169,167.20349260247,171.06324206445
810.6042,194.91122873652,174.00246444732,184.68981537591,184.29277950624,167.34731991269,171.47213472256
820.6116,194.16477433432,173.88461538462,185.01155415505,184.61638854095,167.31405125718,170.75668362814
830.6191,194.8003959756,174.04553167421,184.8671272169,184.29354721403,167.40609588487,171.42161376302
840.6265,194.37751020243,173.86776826115,185.10431058862,184.721645319,167.31502142453,170.77461432841
850.634,194.95070507899,173.89451357466,184.83824182927,184.36502484949,167.45242137602,171.07511509571
860.6415,194.14473312053,173.68022786038,185.08083868622,184.77271808962,167.36648071792,170.73483563525
870.6489,194.67614853125,173.79383484163,184.69809720034,184.15600630329,167.43111811788,170.8119295695
880.6564,194.06969978585,173.44408532644,184.94493596736,184.55695179603,167.2530519848,170.33450448268
890.6638,194.84621600873,173.69089366516,184.95588413526,184.47698896925,167.53387501011,170.89964461675
900.6713,194.24372701927,173.62398998061,185.03506645659,184.755868924,167.4972511925,170.21965107827
910.6787,195.19661400461,173.73452650291,185.04052034097,184.59941815831,167.66921335597,170.73762216299
920.6862,194.42906784113,173.52395765999,185.2391225306,184.90035961049,167.34994744927,170.34936596398
930.6937,194.93704796153,173.63340336135,184.99785884539,184.28429431492,167.50412321125,170.48033276795
940.7011,194.76932401309,173.29096638656,185.3213347877,184.89595539214,167.38737973967,170.49055003635
950.7086,196.92100690937,174.58225597932,186.20235930998,185.08161945937,167.96082949309,176.34359098619
960.716,202.32445755384,182.6150210084,192.34456429524,188.39775344458,168.39651548225,192.3249737501
970.7235,212.20550325266,201.71303329024,206.6086130974,200.15337993454,172.09661249899,215.94443098296
980.731,225.31932603338,225.19210568843,226.54482284976,220.02198068609,178.3267847037,240.87864469752
990.7384,242.54006222474,249.45903361345,249.55286227932,241.81017414845,188.07276255154,265.18698005008
1000.7459,259.04371893814,271.8272866839,271.87314668929,264.2426360661,196.86219581211,286.57879008158
1010.7533,276.44316942099,292.96020523594,294.05005453884,285.80855792153,207.12596006144,306.80486228899
1020.7608,292.27496060447,311.19945862961,314.27281541631,306.79776960685,215.53585576845,324.6479282772
1030.7682,307.61836841893,328.79528926955,333.94614794166,325.53412259081,225.29610316113,341.0558113238
1040.7757,321.00844478565,343.38526179703,351.03171332768,344.06456826538,231.94817689385,355.88219853001
1050.7832,333.85231726534,358.14257433743,368.35118975478,359.91967352216,240.26683644595,369.04401906147
1060.7906,344.75627298073,370.00460568843,381.30662949946,374.8417713847,245.22701916081,380.64837250626
1070.7981,354.12933855913,381.21331609567,395.60994626914,387.84496343287,251.98548791333,391.40251191342
1080.8055,361.74362600509,390.59882029735,405.47877025007,399.28558729646,255.14386773385,400.27122203376
1090.813,368.86318639137,399.56282320621,416.67567567568,409.69368459332,259.86712749616,408.40037153703
1100.8205,374.26930381026,407.14273594053,424.48656728477,418.59941815831,261.61314576765,416.20208383814
1110.8279,378.85066063275,413.93653038138,433.81994101725,426.21257424542,264.93487751637,422.63787254664
1120.8354,381.65505676997,419.6906512605,438.67753403628,432.66762293426,265.1164605061,428.46434052177
1130.8428,384.23035274153,425.07070135747,446.55601341252,438.72617075437,267.54996361872,433.10168807043
1140.8503,385.66867348176,429.64031189399,449.08229305539,442.6841488545,266.60271646859,437.88886196592
1150.8578,386.5006666936,433.51676632191,456.02650183816,446.75506081054,267.96167838952,441.50092884258
1160.8652,386.46733201342,437.2019634777,456.73235567406,449.10178189018,266.57154984235,445.42375413941
1170.8727,386.36555012324,439.95846800259,462.31693128106,451.5387692432,266.98500282966,448.12737258703
1180.8801,385.65493555295,443.70919521655,462.53924776795,452.95583659946,265.34056916485,451.47564817058
1190.8876,383.05091114793,444.89540239173,465.41946430736,452.40324861611,264.50970167354,451.79856231322
1200.895,382.4815548103,447.78155300582,465.41558598958,452.69053295083,262.98981324278,455.40844842904
1210.9025,379.37500505071,447.67566257272,467.0687593423,451.29625439412,262.08270676692,455.54930942573
1220.91,378.18457311407,449.83960892049,465.53003676322,450.30760838822,259.7437949713,458.10911881108
1230.9174,374.35674168653,449.68604557208,466.17868541187,447.88225786901,258.55295496807,457.0680478152
1240.9249,371.50587902542,450.70782159018,462.32351634145,444.53905208291,255.64047214811,458.39536386399
1250.9323,368.01511172169,449.40049288946,462.25920090494,441.48579740596,254.06471824723,457.77243356756
1260.9398,365.974301992,451.40962346477,458.85040197148,438.67582528587,251.92363974452,460.21096841935
1270.9473,361.36215604671,449.84187136393,457.32638468065,435.1190755182,250.39045193629,457.84302560375
1280.9547,359.14234918583,450.34130575307,453.37284369571,430.68006788153,247.84610720349,459.59098618852
1290.9622,353.811588347,448.09082094376,451.09732153678,426.94395733161,246.01269302288,456.85550440191
1300.9696,351.40611741889,447.79553167421,444.99329374217,421.22800921249,243.43200743795,457.2314433406
1310.9771,346.82508384177,445.33964932127,442.56025532259,417.96165501636,241.4562616218,454.58973427025
1320.9846,344.50583861974,445.16277472528,437.24429362098,412.25330316376,239.11213517665,455.47762700913
1330.992,339.09382197261,442.43289431157,433.47969943037,407.91785526688,237.29250545719,451.48905581132
1340.9995,336.79700189907,441.0101405947,427.79469155254,401.93260333751,235.08286846148,452.48853081334
1351.0069,331.44822013011,437.74276826115,424.00892821072,397.46543294679,232.81150456787,448.16884742751
1361.0144,329.310477191,435.68580316742,418.02928937907,391.33851872803,230.67410461638,448.60338421775
1371.0218,323.78382964968,432.07805429864,413.7524340484,386.84488262152,228.72180451128,443.33587755432
1381.0293,320.65154147642,428.6670572075,406.79626711914,380.03583983191,226.29282884631,441.91280995073
1391.0368,315.93522970625,423.49632352941,402.18777521917,375.96416016809,224.21117309403,437.55294402714
1401.0442,313.73174673724,421.09421460892,396.65866763625,369.94242191604,222.59273182957,436.92722720297
1411.0517,309.06929572912,415.88122171946,392.12079343918,366.08925613156,220.65078017625,431.46405783055
1421.0591,306.16437027759,412.86926308985,386.04023754696,359.21047315043,218.98083919476,428.55960746305
1431.0666,301.58757929613,405.51648351648,380.49945461156,354.96791789567,216.54402134368,422.4835231403
1441.0741,299.20885692351,401.78417905624,374.58562598473,348.82257869005,215.07122645323,419.69937807932
1451.0815,294.69926057619,395.5831043956,369.54563083263,344.6929572912,213.04107041798,413.96700589613
1461.089,292.28275889935,391.53603749192,364.18769442088,339.26372782739,211.66484760288,409.88660043615
1471.0964,288.00246474605,384.0654896574,358.34355431665,334.25536385309,209.6166626243,402.89879654309
1481.1039,285.64038951069,379.10694085326,352.97406374985,328.45609923633,208.15478211658,399.07782085454
1491.1113,282.00290920845,372.29759211377,347.55682139539,324.50478807225,206.17006225241,392.71012034569
1501.1188,279.65412743949,368.37249515191,343.04823657739,319.53610246879,205.29214164443,388.08755350941
1511.1263,275.69061376217,361.4389948287,337.4544903648,315.12222716069,203.16310938637,380.80449882885
1521.1337,273.61299446442,356.1060520362,332.46584252414,309.83049820195,201.99636187242,376.25482594298
1531.1412,270.37492423936,349.62245475113,327.63442815012,306.37290395572,200.04584040747,369.78652774412
1541.1486,267.91591579458,344.43067226891,323.41631317416,301.753767829,199.33365672245,364.89431386802
1551.1561,264.59602408178,338.40348254687,317.93503817719,297.91025900036,197.59248928774,358.01086341976
1561.1636,262.67542122914,333.2835730446,313.52999636408,293.30219402804,196.69455897809,353.38478313545
1571.171,259.95510929735,327.48024402069,308.95083424231,290.0301830377,194.88968388714,347.28559890154
1581.1785,257.68750252536,322.5071509373,305.15517311033,286.14348054467,194.3571024335,342.14162830143
1591.1859,254.75025253546,317.0088073691,300.49468751263,282.66091559255,192.65122483628,335.96191745416
1601.1934,253.23645399814,312.35140594699,297.09202924898,278.64265222837,192.14714204867,331.05916323399
1611.2009,250.22138268213,306.92174369748,292.35215933422,275.37872237262,190.39267523648,325.2298279622
1621.2083,248.6293183563,301.99393988365,289.27770371268,271.87761121662,190.0384428814,320.21007996123
1631.2158,246.07907390198,297.34785067873,284.75724154648,268.51355610328,188.6263238742,315.24077215088
1641.2232,244.3895106873,292.62443438914,282.28453116794,265.0993575498,188.24516937505,310.39762539375
1651.2307,242.21277627379,288.23266806723,277.98961742011,262.40195563457,186.99535128143,305.48158468621
1661.2381,240.0183845812,283.68491435036,274.89488142851,258.55582043719,186.29359689546,300.44212906873
