Time::Relative Time!!R,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R,Channel1_R5_Area::EGFP_R5_Area!!R,Channel1_R5_IntensityMean::EGFP_R5_IntensityMean!!R,Channel1_R5_IntensitySum1::EGFP_R5_IntensitySum1!!R,Channel1_R5_IntensityMaximum::EGFP_R5_IntensityMaximum!!R,Channel1_R6_Area::EGFP_R6_Area!!R,Channel1_R6_IntensityMean::EGFP_R6_IntensityMean!!R,Channel1_R6_IntensitySum1::EGFP_R6_IntensitySum1!!R,Channel1_R6_IntensityMaximum::EGFP_R6_IntensityMaximum!!R
"Ms",,,,,,,,,,,,,,,,,,,,,,,,
160.1193,2614.113125,198.14792516869,4903963,273,2614.43,188.57025694893,4667491,255,2614.535625,196.17012079344,4855799,262,2614.113125,192.63929855752,4767630,262,2612.95125,168.17834909855,4160396,237,2615.48625,189.78285275826,4699403,261
170.1268,2614.113125,197.56406319447,4889513,277,2614.43,187.51345345831,4641333,249,2614.535625,196.24017290833,4857533,258,2614.113125,192.79958786214,4771597,260,2612.95125,168.38357991754,4165473,232,2615.48625,188.91212341491,4677842,259
180.1343,2614.113125,197.46179643622,4886982,278,2614.43,187.25763574661,4635001,257,2614.535625,195.10620934836,4829464,255,2614.113125,191.76100044446,4745893,260,2612.95125,167.86449995958,4152632,233,2615.48625,188.1754300945,4659600,255
190.1417,2614.113125,197.04965857206,4876782,269,2614.43,186.4650937298,4615384,242,2614.535625,195.0940896053,4829164,260,2614.113125,191.88157097257,4748877,264,2612.95125,167.97380548145,4155336,242,2615.48625,187.41402148453,4640746,263
200.1492,2614.113125,196.8867428987,4872750,265,2614.43,186.06395442793,4605455,247,2614.535625,193.91362663112,4799944,257,2614.113125,191.02545557396,4727689,260,2612.95125,167.73619532703,4149458,236,2615.48625,186.88801389225,4627721,250
210.1566,2614.113125,196.65372338276,4866983,262,2614.43,185.27302844215,4585878,248,2614.535625,194.34424110209,4810603,258,2614.113125,191.11463089418,4729896,267,2612.95125,167.85083676934,4152294,241,2615.48625,186.30050076731,4613173,250
220.1641,2614.113125,196.72916077417,4868850,261,2614.43,184.98618293471,4578778,254,2614.535625,193.26994707712,4784011,260,2614.113125,190.44030061821,4713207,252,2612.95125,167.53654297033,4144519,239,2615.48625,185.69182618528,4598101,265
230.1716,2614.113125,196.38239928886,4860268,263,2614.43,184.25464608921,4560671,260,2614.535625,193.5629620652,4791264,258,2614.113125,190.44813931876,4713401,256,2612.95125,167.66703047942,4147747,232,2615.48625,184.71318956466,4573868,255
240.179,2614.113125,196.56769970504,4864854,262,2614.43,184.09199256626,4556645,243,2614.535625,192.75760513877,4771329,254,2614.113125,189.86330760839,4698927,267,2612.95125,167.59576360256,4145984,239,2615.48625,184.5564170907,4569986,257
250.1865,2614.113125,195.90629924441,4848485,269,2614.43,183.44053005818,4540520,253,2614.535625,192.62792388801,4768119,263,2614.113125,189.76540466282,4696504,256,2612.95125,167.51487589943,4143983,226,2615.48625,183.51768839351,4544265,269
260.1939,2614.113125,196.09297345347,4853105,271,2614.43,183.14984647705,4533325,249,2614.535625,191.98937502525,4752313,253,2614.113125,189.13733888238,4680960,254,2612.95125,167.41199773628,4141438,231,2615.48625,183.43679832001,4542262,265
270.2014,2614.113125,195.323326195,4834057,278,2614.43,182.65982546865,4521196,250,2614.535625,191.93273542601,4750911,258,2614.113125,189.10105458806,4680062,267,2612.95125,167.27524456302,4138055,245,2615.48625,182.30102576529,4514138,264
280.2089,2614.113125,195.91070346277,4848594,269,2614.43,182.24341467356,4510889,242,2614.535625,191.20312689371,4732851,253,2614.113125,188.77526364702,4671999,251,2612.95125,167.2824399709,4138233,241,2615.48625,182.3225506825,4514671,258
290.2163,2614.113125,195.15806699261,4829967,271,2614.43,181.78163380737,4499459,255,2614.535625,191.11109764473,4730573,259,2614.113125,188.66523899956,4669276,293,2612.95125,167.17256851807,4135515,228,2615.48625,181.18031661417,4486387,250
300.2238,2614.113125,195.50442442119,4838539,263,2614.43,181.57821590175,4494424,251,2614.535625,190.6848866804,4720023,258,2614.113125,188.1334195321,4656114,265,2612.95125,167.13125555825,4134493,241,2615.48625,181.39520232615,4491708,245
